SKU,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Season,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Body,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,Rib-Knit,Pocket,Zipper,Button Front,Drawstring,Button,Lettuce Trim,Ruched,Knot,Contrast Lace,Frill,Ruched Bust,Backless,Tie Back,Wrap,Embroidery,Split,Asymmetrical,Ruffle,Belted,Ripped,Cut Out,Raw Hem,Ruffle Hem,Lace Up,Tie Front,Pleated,Criss Cross,Double Button,Contrast Binding,Split Thigh,Shirred,Classification
swpants07200924617,10,5,64,127,6,20,12,1,7,0,8,19,4,0,4,4,3,0,1,SHEIN Tie Dye Flare Leg Pants,9.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swsweater04201106363,21,2,2,66,6,40,25,4,14,3,3,0,4,0,4,6,2,0,1,Raglan Sleeve Fair Isle Pattern Sweater,18.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swsweater04200828070,23,2,22,66,10,40,25,4,14,3,10,0,4,0,4,6,2,0,1,Raglan Sleeve Fair Isle Pattern Sweater,19.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swsweater04201106638,21,2,7,66,6,40,25,4,14,3,3,0,4,0,4,6,2,0,1,Raglan Sleeve Fair Isle Pattern Sweater,18.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swleg01201121202,9,2,7,110,6,41,12,1,7,0,0,19,4,0,0,6,2,0,1,Wideband Waist Solid Leggings,8.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
swjacket07201015651,23,2,6,110,1,28,5,4,2,0,3,2,2,0,4,6,2,0,1,SHEIN Lantern Sleeve Flap Detail Crop Cord Jacket,19.0,2,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swbodysui07201023724,12,5,7,115,4,28,34,4,8,0,7,20,4,0,5,6,5,0,1,SHEIN Dobby Mesh Insert York Bodysuit,10.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtop07201102729,7,2,64,33,1,16,25,4,15,3,5,3,4,0,6,6,2,0,1,SHEIN Zebra Striped Panel Seam Front Colorblock Tee,5.99,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swtee07201229166,7,2,64,33,1,16,25,4,15,3,5,3,4,0,6,6,2,0,1,SHEIN Zebra Striped Panel Seam Front Colorblock Tee,5.99,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
swblazer04201030621,31,2,63,36,6,41,18,4,6,0,2,18,2,0,2,6,2,0,1,Single Button PU Leather Oversized Blazer,26.0,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
swblazer04200918414,31,2,0,36,6,41,18,4,6,0,2,18,2,0,2,6,2,0,1,Single Button PU Leather Oversized Blazer,26.0,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False
