,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,Arabian Clothing
0,swpants07200924617,,152,0,0,0,0,5,1,6,2,141,21,10,Elegant,Multicolor,Tie Dye,Long,Flare Leg,,,,,,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,SHEIN Tie Dye Flare Leg Pants,9.0,,,,,
1,swsweatsh23201106696,,30,0,0,30,0,0,0,3,0,27,4,15,Casual,Black,Slogan,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Slogan Graphic Pullover,12.99,,,,,
2,swouter07200928532,,13,0,0,0,0,0,0,1,0,12,2,21,Casual,Black and White,Houndstooth,Regular,Other,Collar,Long Sleeve,Drop Shoulder,,"Contrast Faux Fur, Pocket, Zipper",Fall/Winter,100% Polyester,Tweed,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Houndstooth Pattern Contrast Trim Faux Shearling Coat,18.0,Zipper,,,,
3,swsweater04201106363,,320,5,1,4,1,14,4,19,1,278,52,21,Casual,Army Green,Graphic,Long,Pullovers,Round Neck,Long Sleeve,Raglan Sleeve,Pullovers,,Fall/Winter,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Raglan Sleeve Fair Isle Pattern Sweater,18.0,,,,,
4,swsweater04200828070,,320,5,1,4,1,14,4,19,1,278,52,23,Casual,Brown,Graphic,Regular,Pullovers,Round Neck,Long Sleeve,Raglan Sleeve,Pullovers,,Winter,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Raglan Sleeve Fair Isle Pattern Sweater,19.0,,,,,
5,swsweater04201106638,,320,5,1,4,1,14,4,19,1,278,52,21,Casual,Black,Graphic,Long,Pullovers,Round Neck,Long Sleeve,Raglan Sleeve,Pullovers,,Fall/Winter,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Raglan Sleeve Fair Isle Pattern Sweater,18.0,,,,,
6,swleg01201121202,,124,5,0,4,0,11,2,11,2,95,15,9,Casual,Black,Plain,Long,Regular,,,,,,All,"95% Polyester, 5% Spandex",Polyester,Slight Stretch,No,,,,,,,,,Wideband Waist Solid Leggings,8.0,,,,,
7,swjacket07201015651,,324,1,1,3,0,10,3,14,1,296,51,23,Casual,Beige,Plain,Crop,Other,Collar,Long Sleeve,Bishop Sleeve,,Button Front,Fall/Winter,"15% Nylon, 85% Polyester",Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Lantern Sleeve Flap Detail Crop Cord Jacket,19.0,Single Breasted,,,,
8,swjacket07200818340,,324,1,1,324,0,10,3,14,1,296,51,23,Casual,Black,Plain,Crop,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,"15% Nylon, 85% Polyester",Corduroy,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Drop Shoulder Buttoned Front Flap Pocket Patched Cord Jacket,19.0,Single Breasted,,,,
9,swdress23201102367,,6,0,0,0,0,0,0,0,0,6,1,14,Elegant,White,Plain,Short,,Stand Collar,Long Sleeve,Drop Shoulder,,,Winter,100% Polyester,Polyester,High Stretch,No,Regular Fit,,Natural,,,,,,Mock Neck Cable Knit Sweater Dress Without Belt,12.0,,No,Straight,,
10,swbodysui07201023724,,123,2,1,0,0,0,0,4,2,117,24,12,Elegant,Black,Polka Dot,,Other,"Stand Collar, Sweetheart",Long Sleeve,Flounce Sleeve,,"Ruffle, Contrast Mesh",Spring/Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Skinny,,Natural,,,,,,SHEIN Dobby Mesh Insert York Bodysuit,10.0,,,,,
11,swvest23210106615,,0,0,0,0,0,0,0,0,0,0,0,6,Casual,Multicolor,Animal,Crop,Tank,Notched,,,,Lettuce Trim,Summer,100% Polyester,Polyester,Non-Stretch,No,Slim Fit,,,,,,,,Chinese Dragon Print Notch Neck Crop Top,5.0,,,,,
12,swtop07201102729,,276,1,0,2,0,2,0,21,5,250,62,7,Casual,Multicolor,"Colorblock, Zebra Stripe",Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Zebra Striped Panel Seam Front Colorblock Tee,5.99,,,,,
13,swtee07201229166,,276,0,0,2,0,2,0,21,5,250,62,7,Casual,Multicolor,"Colorblock, Zebra Stripe",Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Fall,"3% Spandex, 97% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Zebra Striped Panel Seam Front Colorblock Tee,5.99,,,,,
14,swblazer04201030621,,225,7,1,7,0,20,1,19,4,172,31,31,Casual,Mocha Brown,,Long,Regular,Lapel,Long Sleeve,Drop Shoulder,,"Pocket, Contrast Binding",Fall,"45% PU Leather, 55% Polyester",PU Leather,Non-Stretch,No,Oversized,,,,,,,,Single Button PU Leather Oversized Blazer,26.0,Single Button,,,,
15,swblazer04200918414,,225,7,1,7,0,20,1,19,4,172,31,31,Casual,Apricot,,Long,Regular,Lapel,Long Sleeve,Drop Shoulder,,"Pocket, Contrast Binding",Fall,"45% PU Leather, 55% Polyester",PU Leather,Non-Stretch,No,Oversized,,,,,,,,Single Button PU Leather Oversized Blazer,26.0,Single Button,,,,
