,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Belt,Top Type,Placket
0,swvest07201130858,,683,0,0,5,0,4,1,31,3,642,42,6,Casual,Coffee Brown,Plain,Crop,Tank,Round Neck,,,,,Summer,"93% Rayon, 7% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Crop Tank Top,5.0,,,,
1,swvest07201218354,,683,0,0,5,0,4,1,31,3,642,42,6,Casual,Black,Plain,Crop,Tank,Round Neck,,,,,Summer,"93% Rayon, 7% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Crop Tank Top,5.0,,,,
2,swvest07201222653,,683,0,0,5,0,4,1,31,3,642,42,6,Casual,"Pastel, Mint Green",Plain,Crop,Tank,Round Neck,,,,Rib-Knit,Summer,"93% Rayon, 7% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Crop Tank Top,5.0,,,,
3,swvest07201222306,,683,0,0,5,0,4,1,31,3,642,42,6,Casual,Redwood,Plain,Crop,Tank,Round Neck,,,,,Summer,"93% Rayon, 7% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Crop Tank Top,5.0,,,,
4,swvest07201224444,,683,0,0,5,0,4,1,31,3,642,42,6,Casual,White,Plain,Crop,Tank,Round Neck,,,,,Summer,"93% Rayon, 7% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Crop Tank Top,5.0,,,,
5,swsweatsh24201226379,,83,0,0,0,0,3,0,4,0,76,0,10,Casual,Light Grey,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,Pocket,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Kangaroo Pocket Drawstring Hoodie,8.99,,,,
6,swsweatsh24201226298,,83,0,0,0,0,3,0,4,0,76,0,10,Casual,Violet Purple,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Kangaroo Pocket Drawstring Hoodie,8.99,,,,
7,swsweatsh24201226742,,83,0,0,0,0,3,0,4,0,76,0,10,Casual,Baby Pink,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Kangaroo Pocket Drawstring Hoodie,8.99,,,,
8,swsweatsh24201226592,,83,0,0,0,0,3,0,4,0,76,0,10,Casual,White,Plain,Regular,Pullovers,Hooded,Long Sleeve,Regular Sleeve,,"Drawstring, Pocket",Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Kangaroo Pocket Drawstring Hoodie,8.99,,,,
9,swsweatsh24201226999,,83,0,0,0,0,3,0,4,0,76,0,10,Casual,Black,Plain,Regular,Pullovers,Hooded,Long Sleeve,Drop Shoulder,,Pocket,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Kangaroo Pocket Drawstring Hoodie,8.99,,,,
