,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,Arabian Clothing
0,swtop01201209817,,0,0,0,0,0,0,0,0,0,0,0,9,Casual,Multicolor,All Over Print,Crop,,Deep V Neck,Long Sleeve,Regular Sleeve,,Knot,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,Allover Print Wrap Tie Side Top,8.0,,,,,
1,swouter07200708748,,10000,0,0,0,0,0,0,0,0,9999,2517,24,Casual,Black,Plain,Short,Other,Collar,Long Sleeve,Drop Shoulder,,Button Front,Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Button Front Drop Shoulder PU Leather Coat,20.0,Single Breasted,,,,
2,swouter07200805293,,10000,0,0,0,0,0,0,0,0,9999,2517,25,Casual,Brown,Plain,Short,Other,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,100% PU Leather,PU Leather,Non-Stretch,No,Oversized,,,,,,,,SHEIN Single Breasted Patch Pocket PU Leather Coat,21.0,Single Breasted,,,,
3,swblouse04200724293,,6413,40,3,71,20,190,40,391,94,5722,1304,18,Casual,Navy Blue,"Striped, Letter",Long,Shirt,V neck,Half Sleeve,Drop Shoulder,Placket,"Tape, Button Front",Spring/Summer,"60% Rayon, 4% Spandex, 36% Polyester",Rayon,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Striped Tape Detail Blouse,15.0,,,,,
4,swblouse04200624170,,6413,40,3,71,20,190,40,391,94,5722,1304,19,Casual,Khaki,"Striped, Letter",Long,Tunic,V neck,Half Sleeve,Drop Shoulder,Placket,"Tape, Button Front",Spring/Summer,"60% Rayon, 4% Spandex, 36% Polyester",Rayon,Slight Stretch,No,Oversized,,,,,,,,Contrast Striped Letter Graphic Top,16.0,,,,,
5,swblouse04200724334,,6413,40,3,71,20,190,40,391,94,5722,1304,18,Casual,Khaki,"Striped, Letter",Long,Shirt,V neck,Half Sleeve,Drop Shoulder,Placket,"Tape, Button Front",Spring/Summer,"60% Rayon, 4% Spandex, 36% Polyester",Rayon,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Striped Tape Detail Blouse,15.0,,,,,
6,swblouse04200826589,,6413,40,3,71,20,190,40,391,94,5722,1304,18,Casual,Dark Grey,"Striped, Letter",Long,Tunic,V neck,Three Quarter Length Sleeve,Drop Shoulder,Placket,Button Front,Spring/Summer,"60% Rayon, 4% Spandex, 36% Polyester",Rayon,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Striped Trim Baseball Shirt,15.0,,,,,
7,swblouse04200826087,,6413,40,3,71,20,190,40,391,94,5722,1304,18,Casual,Blue,"Striped, Letter",Long,Tunic,V neck,Three Quarter Length Sleeve,Drop Shoulder,Placket,Button Front,Spring/Summer,"60% Rayon, 4% Spandex, 36% Polyester",Rayon,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Striped Trim Baseball Shirt,15.0,,,,,
8,swvest07200710301,,10000,0,0,0,0,0,0,0,0,9999,5213,6,Sexy,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Criss Cross, Backless, Draped, Rhinestone",Summer,100% Polyester,Satin,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Draped Neck Rhinestone Chain Crisscross Back Satin Cami Top,5.0,,,,,
9,swvest07200504296,,10000,0,0,0,0,0,0,0,0,9999,5213,6,Sexy,Lilac Purple,Plain,Crop,Cami,Spaghetti Strap,,,,"Criss Cross, Backless, Rhinestone",Summer,100% Polyester,Satin,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Cowl Neck Criss Cross Backless Satin Top,5.0,,,,,
10,swtee44201113942,,0,0,0,0,0,0,0,0,0,0,0,4,Casual,Blue,Graphic,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Regular Fit,,,,,,,,Top-stitching Long Sleeve Crop Tee,3.99,,,,,
11,swvest07201214888,,341,1,1,2,0,10,1,13,3,316,72,3,Casual,White,Plain,Crop,Tank,Round Neck,,,,,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Waffle Knit Crop Tank Top,3.0,,,,,
12,swvest07201105094,,341,1,1,2,0,10,1,13,3,316,72,4,Casual,Brown,Plain,Crop,Tank,Round Neck,,,,,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Waffle Knit Crop Tank Top,4.0,,,,,
13,swvest07201214463,,341,1,1,2,0,10,1,13,3,316,72,4,Casual,Black,Plain,Crop,Tank,Round Neck,,,,,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Waffle Knit Crop Tank Top,4.0,,,,,
14,swvest07201214976,,341,1,1,2,0,10,1,13,3,316,72,4,Casual,Violet Purple,Plain,Crop,Tank,Round Neck,,,,,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Waffle Knit Crop Tank Top,4.0,,,,,
15,swvest07201215513,,341,1,1,2,0,10,1,13,3,316,72,4,Casual,Dusty Blue,Plain,Crop,Tank,Round Neck,,,,,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Waffle Knit Crop Tank Top,4.0,,,,,
16,swvest07201215167,,341,1,1,2,0,10,1,13,3,316,72,4,Casual,Mocha Brown,Plain,Crop,Tank,Round Neck,,,,,Summer,"3% Spandex, 97% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Solid Waffle Knit Crop Tank Top,4.0,,,,,
17,swvest07201120460,,10000,0,0,0,0,0,0,430,167,9570,2102,8,Casual,Rust Brown,Plain,Crop,Tank,Collar,,,,"Rib-Knit, Button Front",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Button Half Placket Rib-knit Tank Top,7.0,,,,,
