,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Top Type,Placket,Belt,Hem Shaped,Arabian Clothing
0,swvest07201224169,SHEIN Tie Dye Crop Cami Top,3.0,1,0,0,0,0,0,0,0,0,1,0,3,Casual,Multicolor,Tie Dye,Crop,Cami,Spaghetti Strap,,,,Rib-Knit,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
1,swouter07200815289,SHEIN Button Up Colorblock Cardigan,17.0,1412,1,0,1,0,13,5,70,27,1327,429,20,Casual,Multicolor,Colorblock,Crop,Cardigan,V neck,Long Sleeve,Drop Shoulder,,Button Front,Spring,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
2,swbodysui07201229920,SHEIN Pop Art Print Form Fitted Bodysuit,7.0,1,0,0,0,0,0,0,0,0,1,0,8,Casual,Black and White,Pop Art Print,,Tee,Round Neck,Short Sleeve,Regular Sleeve,,,Summer,"8% Spandex, 92% Polyester",Polyester,Slight Stretch,No,Skinny,,Natural,,,,,,,,,,
3,swsweatsh07200902533,SHEIN BASICS Solid Drop Shoulder Sweatshirt,11.49,4288,18,3,43,11,95,21,215,59,3917,986,13,Casual,White,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"38% Cotton, 62% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
4,swsweatsh07200829770,SHEIN BASICS Drop Shoulder Solid Pullover,14.99,4288,18,3,43,11,95,21,215,59,3917,986,18,Casual,"Pastel, Lilac Purple",Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,"38% Cotton, 62% Polyester",Polyester,Non-Stretch,No,Oversized,,,,,,,,,,,,
5,swsweatsh07200902410,SHEIN BASICS Drop Shoulder Solid Pullover,14.99,4288,18,3,43,11,95,21,215,59,3917,986,18,Casual,"Pastel, Mint Green",Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,"38% Cotton, 62% Polyester",Polyester,Non-Stretch,No,Oversized,,,,,,,,,,,,
6,swsweatsh07200902891,SHEIN BASICS Drop Shoulder Solid Pullover,14.99,4288,18,3,43,11,95,21,215,59,3917,986,18,Casual,Black,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"38% Cotton, 62% Polyester",Polyester,Non-Stretch,No,Oversized,,,,,,,,,,,,
7,swsweatsh07200902709,SHEIN BASICS Solid Drop Shoulder Sweatshirt,14.99,4288,18,3,43,11,95,21,215,59,3917,986,18,Casual,"Pastel, Dusty Pink",Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,"38% Cotton, 62% Polyester",Polyester,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
8,swsweatsh07201027986,SHEIN Drop Shoulder Solid Pullover,14.99,4288,18,3,43,11,95,21,215,59,3917,986,18,Casual,Apricot,Plain,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"38% Cotton, 62% Polyester",Polyester,Non-Stretch,No,Oversized,,,,,,,,,,,,
9,swpants07200901058,SHEIN Wide Leg Corduroy Pants,20.0,2092,47,6,58,10,162,42,232,49,1593,351,24,Casual,Black,Plain,Long,Wide Leg,,,,,Button,Fall/Winter,"10% Nylon, 90% Polyester",Corduroy,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,,,,,
10,swpants07200718384,SHEIN Corduroy Wide Leg Pants,19.0,2092,47,6,58,10,162,42,232,49,1593,351,23,Casual,Brown,Plain,Long,Wide Leg,,,,,"Pocket, Zipper, Button Front",Fall/Winter,"10% Nylon, 90% Polyester",Polyester,Non-Stretch,No,Loose,Zipper Fly,Natural,,,,,,,,,,
