,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Placket,Belt,Top Type,Arabian Clothing
0,swbodysui23201215106,,0,0,0,0,0,0,0,0,0,0,0,8,Casual,Black,Plain,,Tee,One Shoulder,Long Sleeve,Regular Sleeve,,,Spring/Summer,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Skinny,,Natural,,,,,,One Shoulder Solid Skinny Bodysuit,7.0,,,,,
1,swsweater03200904872,,1673,14,2,10,1,40,8,105,25,1505,266,19,Casual,White,Plain,Regular,Pullovers,V neck,Long Sleeve,Regular Sleeve,Pullovers,Contrast Lace,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Lace V-neck Sweater,16.0,,,,,
2,swsweater03201016098,,1674,14,2,10,1,40,8,105,25,1505,266,20,Casual,Coral Pink,Colorblock,Regular,Pullovers,V neck,Long Sleeve,Drop Shoulder,Pullovers,Contrast Lace,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Lace V-neck Sweater,17.0,,,,,
3,swsweater03201016676,,1674,14,2,10,1,40,8,105,25,1505,266,20,Casual,Grey,Colorblock,Regular,Pullovers,V neck,Long Sleeve,Drop Shoulder,Pullovers,Contrast Lace,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Lace V-neck Sweater,17.0,,,,,
4,swsweater03201030871,,1674,14,2,10,1,40,8,105,25,1505,266,10,Casual,Rust Brown,Colorblock,Regular,Pullovers,V neck,Long Sleeve,Drop Shoulder,Pullovers,Contrast Lace,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Lace V-neck Sweater,8.49,,,,,
5,swsweater03201030077,,1674,14,2,10,1,40,8,105,25,1505,266,10,Casual,Black,Colorblock,Regular,Pullovers,V neck,Long Sleeve,Drop Shoulder,Pullovers,Contrast Lace,Spring/Fall,100% Acrylic,Acrylic,Slight Stretch,No,Regular Fit,,,,,,,,Contrast Lace V-neck Sweater,8.49,,,,,
6,swdress07200903861,,10000,0,0,0,0,0,0,0,0,9999,3889,9,Sexy,Black,Plain,Short,Bodycon,Spaghetti Strap,Sleeveless,,,"Backless, Lace Up",Fall/Winter,"5% Spandex, 95% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Lace-up Open Back Velvet Bodycon Dress,8.0,Pencil,,,,
7,swdress07191226444,,10000,0,0,0,0,0,0,0,0,9999,3889,8,Sexy,Burgundy,Plain,Short,Bodycon,Spaghetti Strap,Sleeveless,,,"Backless, Lace Up",Fall/Winter,"5% Spandex, 95% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Lace-up Open Back Velvet Bodycon Dress,7.0,Pencil,,,,
8,swdress07200903038,,10000,0,0,0,0,0,0,0,0,9999,3889,9,Sexy,Navy Blue,Plain,Short,Bodycon,Spaghetti Strap,Sleeveless,,,"Backless, Lace Up",Fall/Winter,"5% Spandex, 95% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Lace-up Open Back Velvet Bodycon Dress,8.0,Pencil,,,,
9,swdress07201126241,,10000,0,0,0,0,0,0,0,0,9999,3889,8,Glamorous,Purple,Plain,Short,Bodycon,Spaghetti Strap,Sleeveless,,,"Backless, Lace Up",All,"5% Spandex, 95% Polyester",Velvet,Slight Stretch,No,Slim Fit,,Natural,,,,,,SHEIN Lace-up Open Back Velvet Bodycon Dress,7.0,Pencil,,,,
