,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Belt,Hem Shaped,Top Type,Arabian Clothing,Placket
0,swdress23200723215,Swiss Dot Layered Hem Belted Dress,18.0,732,2,0,2,0,10,6,732,8,675,152,21,Elegant,Black,Plain,Short,A Line,Round Neck,Long Sleeve,Raglan Sleeve,,"Tiered Layer, Ruffle Hem, Belted",Spring/Summer,"3% Spandex, 97% Polyester",Polyester,Non-Stretch,No,Regular Fit,,High Waist,,Yes,,,,Yes,Layered/Tiered,,,
1,swvest03200609161,Dragon Print Cropped Cami,4.0,1289,4,1,10,0,33,10,52,20,1190,382,4,Casual,Baby Pink,Animal,Crop,Cami,Spaghetti Strap,,,,,Summer,"5% Spandex, 65% Cotton, 30% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
2,swsweater07200715091,SHEIN Surplice Neck Solid Sweater,12.0,3260,31,7,36,9,159,36,241,77,2794,732,14,Casual,White,Plain,Regular,Basic Tops,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Fall,"42% Viscose, 30% Nylon, 28% Polyester",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
3,swsweater07200611404,SHEIN Surplice Neck Solid Sweater,14.0,3260,31,7,36,9,159,36,241,77,2794,732,17,Casual,Orange,Plain,Regular,Basic Tops,V neck,Long Sleeve,Regular Sleeve,Pullovers,Wrap,Spring/Fall,"42% Viscose, 30% Nylon, 28% Polyester",Viscose,High Stretch,No,Slim Fit,,,,,,,,,,,,
4,swsweater07200715938,SHEIN Surplice Neck Solid Sweater,14.0,3260,31,7,36,9,159,36,241,77,2794,732,17,Casual,Army Green,Plain,Regular,Basic Tops,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Fall,"42% Viscose, 30% Nylon, 28% Polyester",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
5,swsweater07200715577,SHEIN Surplice Neck Solid Sweater,14.0,3260,31,7,36,9,159,36,241,77,2794,732,17,Casual,Redwood,Plain,Regular,Basic Tops,V neck,Long Sleeve,Regular Sleeve,Pullovers,"Wrap, Rib-Knit",Spring/Fall,"42% Viscose, 30% Nylon, 28% Polyester",Viscose,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
6,swdress07201019104,SHEIN Ditsy Floral Print Shirred Waist Lantern Sleeve Dress,7.49,9,0,0,0,0,0,0,1,0,8,1,9,Boho,Multicolor,Ditsy Floral,Short,A Line,V neck,Long Sleeve,Bishop Sleeve,,Shirred,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,,Flared,,,
7,swdress23200702935,Floral Print Belted Maxi Dress,15.0,2499,11,0,8,1,46,8,73,19,2363,765,18,"Modest, Elegant",Multicolor,"Floral, All Over Print",Maxi,A Line,Stand Collar,Long Sleeve,Bishop Sleeve,,Belted,Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Yes,Flared,,,
8,swdress23200814606,Mock Neck Allover Floral Print Belted Dress,15.0,2499,11,0,8,1,46,8,73,19,2363,765,18,Elegant,Multicolor,"Floral, All Over Print",Maxi,A Line,Stand Collar,Long Sleeve,Bishop Sleeve,,"Frill, Belted",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Yes,Flared,,,
9,swpants04200717015,High Waisted Button Waist Wide Leg Jeans,20.0,989,6,1,16,3,40,7,73,18,856,211,24,,Medium Wash,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,
10,swpants04200910143,Bleach Wash High Waisted Wide Leg Jeans,20.0,989,6,1,16,3,0,0,73,18,856,211,24,,Dark Wash,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,,,,,
11,swpants04201125591,High Waisted Wide Leg Jeans,20.0,989,6,1,16,3,40,7,73,18,856,211,24,,Light Wash,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,,,,,
12,swpants04201125659,High Waisted Wide Leg Jeans,20.0,992,6,1,16,3,40,7,73,18,856,211,24,,Light Wash,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,,,,,
13,swpants04201203578,High Waisted Wide Leg Jeans,19.0,992,6,1,16,3,40,7,73,18,856,211,23,,Light Wash,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,High Waist,,,,,,,,,,
14,swtee07201124743,SHEIN Solid Raw-Cut Boxy Cropped Tee,5.99,10000,0,0,0,0,0,0,0,0,9999,6540,7,Casual,Black,Plain,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 69% Cotton, 26% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
15,swtee07190716380,SHEIN Solid Raw-Cut Boxy Cropped Tee,4.99,10000,0,0,0,0,0,0,0,0,9999,6540,6,Basics,Khaki,Plain,Regular,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 69% Cotton, 26% Polyester",Cotton,Slight Stretch,,Regular Fit,,,,,,,,,,,,
16,swtee07191218438,SHEIN Drop Shoulder Boxy Tee,4.99,10000,0,0,0,0,0,0,0,0,9999,6540,6,"Casual, Basics",White,Plain,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 69% Cotton, 26% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
17,swtee07200519315,SHEIN Drop Shoulder Crop Solid Tee,4.99,10000,0,0,0,0,0,0,0,0,9999,6540,6,Casual,Coral Pink,Plain,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 69% Cotton, 26% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
18,swtee07200519642,SHEIN Drop Shoulder Boxy Tee,4.99,10000,0,0,0,0,0,0,0,0,9999,6540,6,Casual,"Pastel, Baby Blue",Plain,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,,Summer,"5% Spandex, 69% Cotton, 26% Polyester",Cotton,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
19,swtee07200918612,SHEIN Solid Raw-Cut Boxy Cropped Tee,4.99,10000,0,0,0,0,0,0,0,0,9999,6540,6,Casual,Lilac Purple,Plain,Crop,,Round Neck,Short Sleeve,Drop Shoulder,Pullovers,Raw Hem,Summer,"5% Spandex, 69% Cotton, 26% Polyester",Cotton,Slight Stretch,No,Oversized,,,,,,,,,,,,
20,swvest04200525948,Lavender Floral Bow Applique Cami Top,8.0,3150,17,2,30,8,137,23,264,52,2702,646,9,Cute,Lilac Purple,Floral,Crop,Cami,Spaghetti Strap,,,,"Bow, Frill",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
21,swpants07201016201,SHEIN Slogan Embroidered Slant Pocket Thermal Joggers,13.0,10,0,0,1,0,0,0,2,0,7,0,15,Casual,Mocha Brown,Slogan,Long,Wide Leg,,,,,"Embroidery, Pocket",All,"37% Cotton, 63% Polyester",Polyester,Non-Stretch,No,Loose,Elastic Waist,High Waist,,,,,,,,,,
22,swpants07201007055,SHEIN High Waist Split Side Flare Leg Jeans,21.0,45,0,0,0,0,1,0,1,0,43,5,25,,Black,Plain,Long,Flare Leg,,,,,"Split, Pocket, Zipper, Button Front",,"3% Viscose, 66% Cotton, 2% Elastane, 29% Polyester",Denim,Slight Stretch,No,Regular Fit,Zipper Fly,High Waist,,,,,,,,,,
23,swbodysui44201024594,Ribbed Mock Neck Puff Sleeve Bodysuit,11.0,149,0,0,0,0,2,0,3,1,145,44,13,Elegant,Khaki,Plain,,Tee,Stand Collar,Long Sleeve,Puff Sleeve,,Rib-Knit,Spring/Fall,"18% Spandex, 82% Polyester",Polyester,High Stretch,No,Skinny,,Natural,,,,,,,,,,
24,swbodysui44201215180,Ribbed Mock Neck Puff Sleeve Bodysuit,11.0,149,0,0,0,0,2,0,3,1,145,44,13,Elegant,Black,Plain,,Tee,Stand Collar,Long Sleeve,Puff Sleeve,,Rib-Knit,Spring/Fall,"18% Spandex, 82% Polyester",Polyester,High Stretch,No,Skinny,,Natural,,,,,,,,,,
25,swbodysui44201215484,Ribbed Mock Neck Puff Sleeve Bodysuit,11.0,149,0,0,0,0,2,0,3,1,145,44,13,Elegant,Dusty Blue,Plain,,Tee,Stand Collar,Long Sleeve,Puff Sleeve,,Rib-Knit,Spring/Fall,"18% Spandex, 82% Polyester",Polyester,High Stretch,No,Skinny,,Natural,,,,,,,,,,
