,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Hem Shaped,Placket,Arabian Clothing,Belt,Top Type
0,swdress07200821879,SHEIN Lettuce Trim Tie Dye Dress,9.0,602,1,0,4,2,8,3,24,9,565,151,10,Casual,Multicolor,Tie Dye,Short,Bodycon,Round Neck,Long Sleeve,Regular Sleeve,,Lettuce Trim,Spring/Fall,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,Natural,,,,,,Pencil,,,,
1,swblazer07200916657,SHEIN Open Front Houndstooth Blazer,13.0,551,7,3,10,3,30,10,40,10,464,126,15,Elegant,Black and White,Houndstooth,Regular,Regular,,Long Sleeve,Regular Sleeve,,Pocket,Spring/Fall,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,,,,,
2,swdress23201016471,Solid Lace-up Shirt Dress,16.0,143,1,0,3,0,7,3,13,2,119,38,19,Elegant,Khaki,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Lace Up, Plicated, Button Front",Spring/Summer,"10% Spandex, 90% Cotton",Cotton,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Flared,,,,
3,swdress23201125199,Solid Lace-up Shirt Dress,16.0,143,1,0,3,0,7,3,13,2,119,38,19,Elegant,Black,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Lace Up, Plicated, Button Front",Spring/Summer,"10% Spandex, 90% Cotton",Cotton,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Flared,,,,
4,swdress23201126966,Lace Up Drop Shoulder Shirt Dress,16.0,143,1,0,3,0,7,3,13,2,119,38,19,Elegant,Army Green,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Lace Up, Button Front",Spring/Summer,"10% Spandex, 90% Cotton",Cotton,Non-Stretch,No,Regular Fit,,High Waist,,,,,,Flared,,,,
5,swpants03191015863,Acid Wash Destroyed Raw Hem Mom Jeans,20.0,9455,133,16,197,31,453,82,733,203,7943,2239,24,,Light Wash,Plain,Cropped,Tapered/Carrot,,,,,"Ripped, Raw Hem",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
6,swpants03200414433,Ripped Frayed Hem Mom Jeans,20.0,9455,133,16,197,31,453,82,733,203,7943,2239,24,,White,Plain,Cropped,Straight Leg,,,,,"Ripped, Raw Hem, Button, Pocket",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
7,swpants03200417886,Snow Wash Ripped Detail Mom Jeans,19.0,9455,133,16,197,31,453,82,733,203,7943,2239,23,,Medium Wash,Plain,Cropped,Mom Fit,,,,,"Ripped, Pocket, Washed",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
8,swpants04201029167,Acid Wash Destroyed Raw Hem Mom Jeans,12.49,9455,133,16,197,31,453,82,733,203,7943,2239,15,,Dark Grey,Plain,Cropped,Mom Fit,,,,,"Ripped, Raw Hem, Pocket, Washed",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Regular Fit,Zipper Fly,Natural,,,,,,,,,,
9,swtee07200824150,SHEIN BASICS Scoop Neck Solid Crop Tee,5.99,4927,12,0,30,7,115,24,246,67,4525,1130,7,Casual,White,Plain,Crop,,Scoop Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,100% Cotton,Cotton,Non-Stretch,No,Slim Fit,,,,,,,,,,,,
10,swtee07200817562,SHEIN BASICS Scoop Neck Solid Crop Tee,5.99,4927,12,0,30,7,115,24,246,67,4525,1130,7,Casual,"Pastel, Baby Pink",Plain,Crop,,Scoop Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,100% Cotton,Cotton,Non-Stretch,No,Slim Fit,,,,,,,,,,,,
11,swtee07200824304,SHEIN BASICS Solid Fitted Crop Tee,5.99,4927,12,0,30,7,115,24,246,67,4525,1130,7,Casual,"Red, Bright",Plain,Crop,,Scoop Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,100% Cotton,Cotton,Non-Stretch,No,Slim Fit,,,,,,,,,,,,
12,swtee07200824764,SHEIN BASICS Solid Fitted Crop Tee,5.99,4927,12,0,30,7,115,24,246,67,4525,1130,7,Basics,Black,Plain,Crop,,Scoop Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,100% Cotton,Cotton,Non-Stretch,No,Slim Fit,,,,,,,,,,,,
13,swtee07200824721,SHEIN BASICS Solid Crop Tee,5.99,4927,12,0,30,7,115,24,246,67,4525,1130,7,Casual,Navy Blue,Plain,Crop,,Scoop Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,100% Cotton,Cotton,Non-Stretch,No,Slim Fit,,,,,,,,,,,,
14,swtee07200824480,SHEIN BASICS Solid Crop Tee,5.99,4927,12,0,30,7,115,24,246,67,4525,1130,7,Casual,Dark Green,Plain,Crop,,Scoop Neck,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,100% Cotton,Cotton,Non-Stretch,No,Slim Fit,,,,,,,,,,,,
15,swtee07201201399,SHEIN Mock-Neck Push Buckle Front Cut Out Two Tone Top,19.99,0,0,0,0,0,0,0,0,0,0,0,24,Casual,Black,Colorblock,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,"Cut Out, Contrast Binding",Spring/Summer,"92% Rayon, 8% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,,,,,
16,swblouse04200902364,Drop Shoulder Patch Pocket Color Block Top,14.0,586,5,1,0,0,17,3,0,0,529,151,17,Elegant,Multicolor,Colorblock,Regular,Shirt,Collar,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Cotton,Cotton,Non-Stretch,No,Regular Fit,,,,,,,,,,,,
17,swjumpsui23200902804,Tie Dye Slant Pocket Cami Jumpsuit,14.0,1049,31,14,27,6,40,6,51,11,902,237,17,Boho,Multicolor,Tie Dye,Long,Cami,Spaghetti Strap,Sleeveless,,,,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,,,,,,,,,,,,
18,swjumpsui03200813794,Tie-Dye Wash Cami Jumpsuit,15.0,1049,31,14,27,6,40,6,51,11,902,237,18,Casual,Coral Pink,Tie Dye,Long,Cami,Spaghetti Strap,Sleeveless,,,Pocket,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Loose,,,,,,,,,,,,
