,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Belt,Placket,Top Type,Arabian Clothing
0,swtee07201023736,,5519,50,11,65,20,167,40,334,91,4902,1216,4,Casual,Coffee Brown,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"95% Acrylic, 5% Spandex",Acrylic,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN BASICS Solid Stand Collar Tee,3.99,,,,,
1,swtee07200824327,,5519,50,11,65,20,167,40,334,91,4902,1216,4,Casual,"Pastel, Coral Pink",Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring,"95% Acrylic, 5% Spandex",Acrylic,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN BASICS Solid Stand Collar Tee,3.99,,,,,
2,swtee07200825738,,5519,50,11,65,20,167,40,334,91,4902,1216,4,Casual,Red,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Summer,"95% Acrylic, 5% Spandex",Acrylic,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN BASICS Mock Neck Crop Tee,3.99,,,,,
3,swtee07200825536,,5519,50,11,65,20,167,40,334,91,4902,1216,4,Casual,Violet Purple,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring,"95% Acrylic, 5% Spandex",Acrylic,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN BASICS Solid Stand Collar Tee,3.99,,,,,
4,swtee07200825741,,5519,50,11,65,20,167,40,334,91,4902,1216,5,Casual,Baby Pink,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring,"95% Acrylic, 5% Spandex",Acrylic,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN BASICS Mock Neck Solid Slim Crop Tee,4.49,,,,,
5,swtee07200825461,,5519,50,11,65,20,167,40,334,91,4902,1216,4,Casual,White,Plain,Crop,,Stand Collar,Long Sleeve,Regular Sleeve,Pullovers,,Spring/Fall,"95% Acrylic, 5% Spandex",Acrylic,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN BASICS Mock Neck Solid Slim Crop Tee,3.99,,,,,
6,swtee07201223086,,529,0,0,0,0,6,0,27,1,496,38,4,Casual,Black,Plain,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,,Summer,"6% Spandex, 94% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Round Neck Solid Top,3.99,,,,,
7,swtee07201207563,,529,0,0,0,0,6,0,27,1,496,38,4,Casual,Coffee Brown,Plain,Crop,,Round Neck,Short Sleeve,Regular Sleeve,Pullovers,,Summer,"6% Spandex, 94% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Round Neck Solid Top,3.99,,,,,
8,swtee07201223876,,529,0,0,0,0,6,0,27,1,0,0,4,Casual,White,Plain,Crop,,Round Neck,Cap Sleeve,Regular Sleeve,Pullovers,,Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Round Neck Solid Top,3.99,,,,,
9,swvest07201225094,,291,0,0,3,0,1,0,16,2,271,24,4,Casual,Burgundy,Plain,Crop,Cami,Spaghetti Strap,,,,"Lettuce Trim, Rib-Knit",Summer,"5% Spandex, 95% Cotton",Cotton,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lettuce Edge Cami Top,4.0,,,,,
