,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Top Type,Belt,Hem Shaped,Placket,Care Instructions,Arabian Clothing,Doorzichtig,Kleur,Lengte,Materiaal,Mouw lengte,Neklijn,Patroon type,Seizoen,Stijl,Stof,Type fit,Type mouwen
0,swblouse23201113079,,515,2,0,7,1,18,1,38,4,451,53,17,Elegant,Dusty Pink,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,,,,,,,,,,,,,,
1,swblouse23201007875,,515,2,0,7,1,18,1,38,4,451,53,17,Casual,Ginger,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,,,,,,,,,,,,,,
2,swblouse23201113429,,515,2,0,7,1,18,1,38,4,451,53,17,Casual,Army Green,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,,,,,,,,,,,,,,
3,swblouse23201113612,,515,2,0,7,1,18,1,38,4,451,53,17,Casual,Mocha Brown,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,,,,,,,,,,,,,,
4,swblouse23201113098,,515,2,0,7,1,18,1,38,4,451,53,17,Elegant,Burgundy,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,,,,,,,,,,,,,,
5,swblouse23201208287,,515,2,0,7,1,18,1,38,4,451,53,17,Casual,Khaki,Plain,Regular,Shirt,Lapel,Long Sleeve,Drop Shoulder,Placket,"Pocket, Button Front",Spring/Fall,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,,,,,Lapel Collar Flap Pocket Button Front Blouse,14.0,,,,,,,,,,,,,,,,,,
6,swpants23200923357,,4849,26,4,31,8,122,22,312,77,4358,981,17,Glamorous,Rust Brown,Plain,Long,Flare Leg,,,,,Rib-Knit,Fall/Winter,100% Polyester,Velvet,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,,,,,,,,,,,,,,
7,swpants04200810185,,4849,26,4,31,8,122,22,312,77,4358,981,17,Glamorous,Olive Green,Plain,Long,Flare Leg,,,,,Rib-Knit,All,100% Polyester,Velvet,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,,,,,,,,,,,,,,
8,swpants23200923586,,4849,26,4,31,8,122,22,312,77,4358,981,17,Glamorous,Black,Plain,Long,Flare Leg,,,,,Rib-Knit,All,100% Polyester,Corduroy,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,,,,,,,,,,,,,,
9,swpants23200923992,,4849,26,4,31,8,122,22,312,77,4358,981,17,Glamorous,Redwood,Plain,Long,Flare Leg,,,,,Rib-Knit,Fall/Winter,100% Polyester,Velvet,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,Solid Flare Leg Velvet Pants,14.0,,,,,,,,,,,,,,,,,,
