,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Placket,Hem Shaped,Belt,Top Type,Arabian Clothing
0,swsweatsh23201103888,,2254,15,3,15,2,68,7,165,37,1991,337,21,Casual,Black,Letter,Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Drop Shoulder Boyfriend Sweatshirt,17.99,,,,,
1,swsweatsh23200928898,,2254,15,3,15,2,68,7,165,37,1991,337,21,Casual,Dark Grey,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Drop Shoulder Boyfriend Sweatshirt,17.99,,,,,
2,swsweatsh23201103615,,2254,15,3,15,2,68,7,165,37,1991,337,21,Casual,Apricot,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Drop Shoulder Boyfriend Sweatshirt,17.99,,,,,
3,swsweatsh23201111698,,2254,15,3,15,2,68,7,165,37,1991,337,21,Casual,Lilac Purple,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Drop Shoulder Boyfriend Sweatshirt,17.99,,,,,
4,swsweatsh23201111361,,2254,15,3,15,2,68,7,165,37,1991,337,21,Casual,Mocha Brown,Letter,Long,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Drop Shoulder Boyfriend Sweatshirt,17.99,,,,,
5,swsweatsh23201114835,,2254,15,3,15,2,68,7,165,37,1991,337,21,Casual,Orange,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring/Fall,"35% Cotton, 65% Polyester",Polyester,Slight Stretch,No,Oversized,,,,,,,,Letter Graphic Drop Shoulder Boyfriend Sweatshirt,17.99,,,,,
6,swtee07201113506,,1527,7,3,16,5,44,13,61,15,1400,373,4,Sexy,White,Plain,Crop,,One Shoulder,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Summer,"21% Rayon, 4% Spandex, 75% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN One Shoulder Rib-knit  Crop Tee,3.99,,,,,
7,swtee07200921366,,1527,7,3,16,5,44,13,61,15,1400,373,4,Casual,Black,Plain,Crop,,One Shoulder,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Summer,"21% Rayon, 4% Spandex, 75% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN One Shoulder Rib-knit  Crop Tee,3.99,,,,,
8,swtee07201113965,,1527,7,3,16,5,44,13,61,15,1400,373,4,Casual,Dark Grey,Plain,Crop,,One Shoulder,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Summer,"21% Rayon, 4% Spandex, 75% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN One Shoulder Rib-knit  Crop Tee,3.99,,,,,
9,swtee07201208007,,1527,7,3,16,5,44,13,61,15,1400,373,4,Sexy,Red,Plain,Crop,,One Shoulder,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Summer,"21% Rayon, 4% Spandex, 75% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN One Shoulder Rib-knit  Crop Tee,3.99,,,,,
10,swtee07201208791,,1527,7,3,16,5,44,13,61,15,1400,373,4,Sexy,Dusty Blue,Plain,Crop,,One Shoulder,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Summer,"21% Rayon, 4% Spandex, 75% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN One Shoulder Rib-knit  Crop Tee,3.99,,,,,
11,swtee07201208941,,1527,7,3,16,5,44,13,61,15,1400,373,4,Sexy,Lilac Purple,Plain,Crop,,One Shoulder,Long Sleeve,Regular Sleeve,Pullovers,Rib-Knit,Spring/Summer,"21% Rayon, 4% Spandex, 75% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN One Shoulder Rib-knit  Crop Tee,3.99,,,,,
12,swtee07201016985,,10000,0,0,0,0,0,0,0,0,9999,4451,4,Casual,Red and White,Tie Dye,Crop,,Round Neck,Long Sleeve,Regular Sleeve,Pullovers,Lettuce Trim,Spring/Summer,"95% Rayon, 5% Spandex",Rayon,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Tie Dye Seam Front Crop Top,3.99,,,,,
