,SKU,Item NamePrice,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Item Name,Price,Hem Shaped,Placket,Arabian Clothing,Top Type,Belt
0,swsweatsh23200922676,,84,0,0,0,0,6,2,2,1,76,16,8,Casual,Mint Green,Letter,Regular,Pullovers,Round Neck,Long Sleeve,Drop Shoulder,,,Spring,"5% Spandex, 95% Polyester",Polyester,High Stretch,No,Regular Fit,,,,,,,,Drop Shoulder Letter Graphic Sweatshirt,7.0,,,,,
1,swpants07201029612,,460,8,1,11,1,20,2,40,6,382,50,25,Casual,Black,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",Fall/Winter,"55% Rayon, 45% PU Leather",PU Leather,Slight Stretch,No,Loose,Zipper Fly,High Waist,,,,,,SHEIN Zipper Fly Slant Pocket PU Palazzo Pants,21.0,,,,,
2,swvest07201120928,,10000,0,0,0,0,0,0,0,0,9999,3210,6,Casual,White,Plain,Crop,Tank,Scoop Neck,,,,Rib-Knit,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Bustier Crop Tank Top,5.0,,,,,
3,swvest07200622618,,10000,0,0,0,0,0,0,0,0,9999,3210,6,Casual,Black,Plain,Crop,Tank,Scoop Neck,,,,Rib-Knit,Summer,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Bustier Crop Top,5.0,,,,,
4,swvest07201120693,,10000,0,0,0,0,0,0,0,0,9999,3210,7,Casual,Mint Green,Plain,Crop,Tank,Scoop Neck,,,,"Asymmetrical, Rib-Knit",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Hook and Eye Front Tank Top,6.0,Asymmetrical,,,,
5,swvest07201120521,,10000,0,0,0,0,0,0,0,0,9999,3210,7,Casual,Pink,Plain,Crop,Tank,Scoop Neck,,,,"Asymmetrical, Ruched Bust",Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Ruched Bust Rib-knit Bustier Tank Top,6.0,Asymmetrical,,,,
6,swvest07201228108,,10000,0,0,0,0,0,0,0,0,9999,3210,7,Casual,Pink,Plain,Crop,Tank,Scoop Neck,,,,Rib-Knit,Summer,"8% Spandex, 32% Cotton, 60% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Bustier Crop Tank Top,6.0,,,,,
7,swvest07201228188,,10000,0,0,0,0,0,0,0,0,9999,3210,7,Casual,Dusty Blue,Plain,Crop,Tank,Scoop Neck,,,,Rib-Knit,Summer,"5% Spandex, 25% Cotton, 70% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Rib-knit Bustier Crop Tank Top,6.0,,,,,
8,swpants04201023181,,11,0,0,1,0,1,0,0,0,10,0,13,,Black,Plain,Long,Wide Leg,,,,,"Button, Pocket, Zipper",,"85% Cotton, 15% Polyester",Denim,Non-Stretch,No,Loose,Zipper Fly,Natural,,,,,,Black Wash Wide Leg Jeans,11.0,,,,,
9,swbodysui07201215297,,1485,34,3,45,10,92,22,108,24,1207,316,10,Sexy,Red,Plain,,Cami,Spaghetti Strap,Sleeveless,,,"Criss Cross, Sheer",Summer,"10% Spandex, 90% Nylon",Lace,Non-Stretch,Yes,Skinny,,Natural,,,,,,SHEIN Crisscross Back Lace Bodysuit,9.0,,,,,
10,swbodysui07200327952,,1485,34,3,45,10,92,22,108,24,1207,316,9,Sexy,Black,Plain,,Cami,Spaghetti Strap,Sleeveless,,,"Criss Cross, Sheer",Summer,"10% Spandex, 90% Nylon",Lace,Non-Stretch,Yes,Skinny,,Natural,,,,,,SHEIN Crisscross Back Lace Bodysuit,8.0,,,,,
11,swouter07201103411,,12,0,0,0,0,0,0,2,0,10,1,20,Preppy,Black and White,Plaid,Short,Overcoat,Collar,Long Sleeve,Drop Shoulder,,"Pocket, Button Front",Fall/Winter,100% Polyester,Wool-Mix Fabric,Non-Stretch,No,Regular Fit,,,,,,,,SHEIN Drop Shoulder Flap Pocket Plaid Overcoat,17.0,,Single Breasted,,,
12,swvest07201128760,,42,0,0,0,0,2,0,0,0,40,8,2,Casual,Black and White,Houndstooth,Crop,Tank,Notched,,,,,Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Notched Neck Houndstooth Tank Top,1.99,,,,,
13,swouter23201110126,,589,3,1,7,1,10,2,32,7,538,96,21,Casual,Apricot,Plain,Short,Coat,,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Open Front Drop Shoulder Solid Cardigan,18.0,,,,,
14,swouter23200820059,,589,3,1,7,1,10,2,32,7,538,96,21,Casual,Army Green,Plain,Regular,Coat,,Long Sleeve,Batwing Sleeve,,,Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Open Front Drop Shoulder Solid Cardigan,18.0,,,,,
15,swouter23201110215,,589,3,1,7,1,10,2,32,7,538,96,21,Casual,Dark Grey,Plain,Short,Coat,,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Open Front Drop Shoulder Solid Cardigan,18.0,,,,,
16,swouter23201110923,,589,3,1,7,1,10,2,32,7,589,107,21,Casual,Dusty Pink,Plain,Short,Coat,,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Open Front Drop Shoulder Solid Cardigan,18.0,,,,,
17,swouter23201110945,,589,3,1,7,1,10,2,32,7,538,96,21,Casual,Coffee Brown,Plain,Short,Coat,,Long Sleeve,Drop Shoulder,,,Fall/Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Open Front Drop Shoulder Solid Cardigan,18.0,,,,,
18,swdress04201103159,,0,0,0,0,0,0,0,0,0,0,0,17,Casual,Black,Plain,Short,Shirt,Collar,Long Sleeve,Drop Shoulder,,"Button, Button Front",Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,,Natural,,,,,,Lantern Sleeve Pleated Waist Shirt Dress,14.0,Straight,,,,
19,swjacket03201107042,,415,4,1,3,1,14,0,33,7,361,47,30,Casual,Apricot,Plain,Regular,Padded ,Hooded,Long Sleeve,Regular Sleeve,,Zipper,Winter,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,Zip Up Hooded Puffer Jacket,25.0,,Zipper,,,
20,swjacket03200923874,,415,415,56,3,1,14,0,33,7,361,47,29,Casual,Black,Plain,Regular,Padded ,Hooded,Long Sleeve,Regular Sleeve,,Zipper,Winter,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,Zip Up Hooded Puffer Jacket,24.0,,Zipper,,,
21,swjacket03201105234,,415,4,1,3,1,14,0,33,7,361,47,29,Casual,Rust Brown,Plain,Regular,Padded ,Hooded,Long Sleeve,Regular Sleeve,,Zipper,Winter,100% Polyester,Polyester,Non-Stretch,No,Regular Fit,,,,Yes,,,,Zip Up Hooded Puffer Jacket,24.0,,Zipper,,,
22,swvest07201230191,,1,0,0,0,0,0,0,0,0,3,0,4,Casual,Multicolor,Leopard,Crop,Cami,Spaghetti Strap,,,,"Contrast Lace, Lettuce Trim",Summer,"7% Spandex, 93% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN Lace Trim Leopard Cami Top,4.0,,,,,
23,swjacket23200922369,,1356,1,0,2,1,18,5,77,10,0,0,0,Casual,Chocolate Brown,Plain,Regular,Padded ,Funnel Neck,Long Sleeve,Drop Shoulder,,Zipper,Winter,100% Polyester,Polyester,Slight Stretch,No,Regular Fit,,,,,,,,Zip Up Puffer Jacket,16.49,,Zipper,,,
24,swtee07201110589,,739,2,2,7,1,17,7,32,7,681,178,6,Elegant,Dark Green,Plain,Regular,,V neck,Long Sleeve,Flounce Sleeve,Pullovers,Contrast Lace,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN V-neck Lace Detail Bell Sleeve Tee,4.99,,,,,
25,swtee07201012424,,739,2,2,7,1,17,7,32,7,681,178,4,Elegant,Black,Plain,Regular,,V neck,Long Sleeve,Flounce Sleeve,Pullovers,Contrast Lace,Spring/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN V-neck Lace Detail Bell Sleeve Tee,3.99,,,,,
26,swtee07201110387,,739,2,2,7,1,17,7,32,7,681,178,4,Elegant,Baby Pink,Plain,Regular,,V neck,Long Sleeve,Flounce Sleeve,Pullovers,Contrast Lace,Spring/Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,SHEIN V-neck Lace Detail Bell Sleeve Tee,3.49,,,,,
