,SKU,Item Name,Price,Reviews Num,1 Star Reviews,1 Star Images,2 Stars Reviews,2 Stars Images,3 Stars Reviews,3 Stars Images,4 Stars Reviews,4 Stars Images,5 Stars Reviews,5 Stars Images,Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Details,Season,Composition,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Panty Type,Body,Chest pad,Bra Type,Bottom Type,Placket,Hem Shaped,Top Type,Belt,Arabian Clothing,Care Instructions
0,swpants07200917238,SHEIN Split Hem Pants,9.0,6240,56,8,94,19,244,29,492,106,5354,1119,10,Casual,Black,Plain,Long,Flare Leg,,,,,Split,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,,,,,,
1,swpants07201030836,SHEIN Split Hem Pants,9.0,6240,56,8,94,19,244,29,492,106,5354,1119,10,Casual,Maroon,Plain,Long,Straight Leg,,,,,Split,Spring/Summer/Fall,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Regular Fit,Elastic Waist,High Waist,,,,,,,,,,,
2,swouter02200811166,Button Front Daisy Floral Pattern Cardigan,20.0,3221,6,0,7,0,40,9,109,32,3059,674,24,Casual,"Pastel, Lime Green",Floral,Regular,Coat,,Long Sleeve,Drop Shoulder,,"Rib-Knit, Button Front",Spring,100% Polyester,Polyester,High Stretch,No,Regular Fit,,,,,,,,,,,,,
3,swouter02201026529,Button Front Daisy Floral Pattern Cardigan,20.0,3221,6,0,7,0,40,9,109,32,3059,674,24,Casual,Mint Green,Floral,Regular,Coat,,Long Sleeve,Drop Shoulder,,"Rib-Knit, Button Front",Spring,100% Polyester,Polyester,High Stretch,No,Regular Fit,,,,,,,,,,,,,
4,swouter02201118848,Button Front Daisy Floral Pattern Cardigan,20.0,3221,6,0,7,0,40,9,109,32,3059,674,24,Casual,Baby Blue,Floral,Regular,Coat,Deep V Neck,Long Sleeve,Drop Shoulder,,Button Front,Spring,100% Polyester,Polyester,High Stretch,No,Regular Fit,,,,,,,,,,,,,
5,swouter02201118163,Button Front Daisy Floral Pattern Cardigan,20.0,3221,6,0,7,0,40,9,109,32,3059,674,24,Casual,Dusty Pink,"Floral, All Over Print",Regular,Cardigan,V neck,Long Sleeve,Drop Shoulder,,"Rib-Knit, Button Front",Spring/Fall,100% Polyester,Polyester,High Stretch,No,Oversized,,,,,,,,,,,,,
6,swouter02201118455,Button Front Daisy Floral Pattern Cardigan,20.0,3221,6,0,7,0,40,9,109,32,0,0,24,Casual,White,"Floral, All Over Print",Regular,Coat,V neck,Long Sleeve,Drop Shoulder,,Button Front,Fall/Winter,100% Polyester,Polyester,High Stretch,No,Regular Fit,,,,,,,,,,,,,
7,swvest07200915120,SHEIN Frill Trim Ruched Front Rib-knit Cami Top,4.0,10000,0,0,0,0,0,0,164,160,9836,3085,4,Casual,Black,Plain,Crop,Cami,Spaghetti Strap,,,,"Frill, Rib-Knit, Ruched Bust",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
8,swvest07200807789,SHEIN Ruched Ruffled Cropped Cami Top,4.0,10000,0,0,0,0,0,0,164,160,9836,3085,4,Casual,Dusty Blue,Plain,Crop,Cami,Spaghetti Strap,,,,"Frill, Rib-Knit, Ruched Bust",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
9,swvest07200911719,SHEIN Frill Trim Ruched Front Rib-knit Cami Top,4.0,10000,0,0,0,0,0,0,164,160,9836,3085,4,Casual,White,Plain,Crop,Cami,Spaghetti Strap,,,,"Frill, Lettuce Trim, Rib-Knit, Ruched Bust",Summer,"5% Spandex, 95% Polyester",Polyester,Slight Stretch,No,Slim Fit,,,,,,,,,,,,,
