Points Earnning,Style,Color,Pattern Type,Length,Type,Neckline,Sleeve Length,Sleeve Type,Placket Type,Season,Material,Fabric,Sheer,Fit Type,Closure Type,Waist Line,Body,Bottom Type,Item Name,Price,Placket,Belt,Hem Shaped,Top Type,num_image_ratings,Classification
10,5,32,110,5,19,24,3,13,2,7,18,3,0,3,4,2,1,4,SHEIN Tie Dye Flare Leg Pants,9.0,1,1,4,4,24,0
21,2,1,58,5,38,24,3,12,2,2,0,3,0,3,6,2,1,4,Raglan Sleeve Fair Isle Pattern Sweater,18.0,1,1,4,4,59,0
23,2,9,58,9,38,24,3,12,2,9,0,3,0,3,6,2,1,4,Raglan Sleeve Fair Isle Pattern Sweater,19.0,1,1,4,4,59,0
21,2,5,58,5,38,24,3,12,2,2,0,3,0,3,6,2,1,4,Raglan Sleeve Fair Isle Pattern Sweater,18.0,1,1,4,4,59,0
9,2,5,93,5,39,24,3,13,2,0,18,3,0,3,6,2,1,4,Wideband Waist Solid Leggings,8.0,1,1,4,4,19,0
23,2,4,93,1,26,5,3,2,2,2,2,1,0,3,6,2,1,4,SHEIN Lantern Sleeve Flap Detail Crop Cord Jacket,19.0,1,1,4,4,56,0
12,5,5,98,1,26,33,3,7,2,6,19,3,0,4,6,4,1,4,SHEIN Dobby Mesh Insert York Bodysuit,10.0,1,1,4,4,27,0
7,2,32,31,1,38,24,3,13,2,4,3,3,0,5,6,2,1,4,SHEIN Zebra Striped Panel Seam Front Colorblock Tee,5.99,1,1,4,4,67,0
7,2,32,31,1,38,24,3,13,2,4,3,3,0,5,6,2,1,4,SHEIN Zebra Striped Panel Seam Front Colorblock Tee,5.99,1,1,4,4,67,0
31,2,31,93,5,39,17,3,6,2,1,17,1,0,1,6,2,1,4,Single Button PU Leather Oversized Blazer,26.0,2,1,4,4,37,0
31,2,0,93,5,39,17,3,6,2,1,17,1,0,1,6,2,1,4,Single Button PU Leather Oversized Blazer,26.0,2,1,4,4,37,0
31,2,5,93,5,39,17,3,6,2,1,17,1,0,1,6,2,1,4,Single Button PU Leather Oversized Blazer,26.0,2,1,4,4,37,0
10,2,21,93,5,19,24,3,13,2,7,18,3,0,3,4,2,1,4,SHEIN Ribbed Marble Knit Flare Pants,9.0,1,1,4,4,2287,1
13,2,45,93,5,19,24,3,13,2,7,18,3,0,3,4,2,1,4,SHEIN Flare Leg Rib-knit Pants,11.0,1,1,4,4,4489,1
13,2,5,93,5,19,24,3,13,2,7,18,3,0,3,4,4,1,4,SHEIN Flare Leg Rib-knit Pants,11.0,1,1,4,4,2287,1
14,5,22,93,5,19,24,3,13,2,7,18,3,0,3,4,4,1,4,SHEIN Flare Leg Solid Pants,12.0,1,1,4,4,2093,1
9,7,32,109,8,0,24,3,13,2,8,18,1,0,3,6,2,1,4,SHEIN Fold Pleated Tartan Skirt,8.0,1,1,4,4,13,0
12,2,23,71,9,38,24,3,6,2,4,18,3,0,1,6,2,1,4,Letter & Eagle Print Drop Shoulder Sweatshirt,9.99,1,1,4,4,28,0
4,5,5,93,9,38,0,3,13,2,4,3,3,0,5,6,2,1,4,SHEIN Asymmetrical Neck Rib-knit Tee,3.99,1,1,4,4,37,0
13,5,32,52,9,57,38,3,13,0,4,18,1,0,3,6,2,1,4,Tie Neck Keyhole Back Geo Top,11.0,1,1,4,4,16,0
13,5,32,52,9,57,38,3,13,0,4,18,1,0,3,6,2,1,4,Tie Neck Keyhole Back Geo Top,11.0,1,1,4,4,16,0
13,5,32,52,9,57,38,3,13,0,4,18,1,0,3,6,2,1,4,Tie Neck Keyhole Back Geo Top,11.0,1,1,4,4,16,0
6,2,32,1,1,10,28,3,13,2,8,18,3,0,5,6,2,1,4,SHEIN Lace Trim Chinese Dragon and Fire Print Cami Top,5.0,1,1,4,4,40,0
21,2,51,93,9,38,12,3,6,2,9,18,3,0,3,6,2,1,4,SHEIN Turtle Neck Fuzzy Sweater,18.0,1,1,4,4,9,0
4,2,0,93,9,38,14,3,6,2,9,21,3,0,3,6,2,1,4,SHEIN High Neck Drop Shoulder Solid Teddy Pullover,3.99,1,1,4,4,45,0
12,2,5,93,2,39,24,3,13,2,0,17,3,0,3,6,2,1,4,PU High Waist Leggings,10.0,1,1,4,4,1318,1
12,2,32,20,9,38,24,3,13,2,4,18,3,0,3,6,2,1,4,Cut And Sew Tee,9.99,1,1,4,4,2022,1
4,2,32,20,9,38,24,3,13,2,4,18,3,0,3,6,2,1,4,Cut And Sew Tee,3.99,1,1,4,4,2022,1
12,2,21,20,9,38,24,3,13,2,4,18,3,0,3,6,2,1,4,Cut And Sew Tee,9.99,1,1,4,4,2022,1
12,2,32,20,9,38,24,3,13,2,4,18,3,0,3,6,2,1,4,Cut And Sew Tee,9.99,1,1,4,4,2022,1
27,9,13,93,1,38,39,3,6,2,4,18,3,0,3,6,2,1,4,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,23.0,1,1,4,4,60,0
29,2,11,93,1,38,39,3,6,2,4,18,3,0,3,6,2,1,4,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,24.0,1,1,4,4,60,0
27,9,16,93,1,38,39,3,6,2,4,18,3,0,3,6,2,1,4,SHEIN V-neck Drop Shoulder Solid Pullover & Joggers Set,23.0,1,1,4,4,60,0
24,2,5,93,5,63,24,3,13,2,4,5,1,0,0,6,2,1,4,High Waist Wide Leg Jeans,20.0,1,1,4,4,639,0
24,2,7,93,5,63,24,3,13,2,4,5,1,0,0,1,2,1,4,High-Rise Baggy Jeans,20.0,1,1,4,4,642,0
26,2,27,93,10,38,14,3,6,2,9,3,3,0,3,6,2,1,4,Turtleneck Cable And Ribbed Knit Dress,22.0,1,1,7,4,1046,1
26,5,3,93,10,38,14,3,13,2,9,3,3,0,3,6,4,1,4,High Neck Cable Knit Sweater Dress,22.0,1,1,4,4,1046,1
23,2,21,93,10,38,14,3,6,2,2,3,3,0,3,6,2,1,4,Cable Knit Turtleneck Drop Shoulder Sweater Dress,19.0,1,1,7,4,1046,1
26,2,5,93,10,38,14,3,6,2,2,3,3,0,3,6,2,1,4,Cable Knit Turtleneck Drop Shoulder Sweater Dress,22.0,1,1,4,4,1046,1
26,5,15,93,10,38,14,3,6,2,9,3,3,0,3,6,2,1,4,Turtleneck Cable Knit Sweater Dress,22.0,1,1,7,4,1046,1
26,2,41,93,10,38,14,3,6,2,2,3,3,0,3,6,2,1,4,Cable Knit Turtleneck Sweater Dress,22.0,1,1,7,4,1046,1
17,5,5,93,7,7,28,7,13,2,8,18,0,0,5,6,4,1,4,Solid Ruched Bodycon Dress,14.0,1,1,4,4,886,1
17,5,10,93,7,7,28,7,13,2,8,18,0,0,5,6,4,1,4,Solid Ruched Bodycon Cami Dress,14.0,1,1,4,4,886,1
17,5,13,93,7,7,28,7,13,2,8,18,0,0,5,6,4,1,4,Solid Ruched Bodycon Dress,14.0,1,1,4,4,886,1
17,5,34,93,7,7,28,7,13,2,8,18,0,0,5,6,4,1,4,Solid Ruched Bodycon Dress,14.0,1,1,4,4,886,1
17,5,51,93,7,7,28,7,13,2,8,18,0,0,5,6,4,1,4,Solid Ruched Bodycon Dress,14.0,1,1,4,4,886,1
17,5,22,93,7,7,28,7,13,2,8,18,0,0,5,6,4,1,4,Solid Ruched Bodycon Dress,14.0,1,1,4,4,886,1
4,5,0,93,9,38,32,3,13,2,3,18,3,0,5,6,2,1,4,SHEIN Solid High Neck Form Fitted Tee,3.99,1,1,4,4,9901,1
4,0,51,93,9,38,14,3,13,2,4,18,3,2,5,6,2,1,4,SHEIN Solid Form-Fitting Turtleneck Top,3.99,1,1,4,4,9901,1
4,5,37,93,9,38,32,3,13,2,3,18,3,0,5,6,2,1,4,SHEIN Solid Mock-neck Form Fitting Tee,3.99,1,1,4,4,9901,1
4,0,34,93,9,38,14,3,13,2,4,18,3,0,5,6,2,1,4,SHEIN High Neck Solid Tee,3.99,1,1,4,4,9901,1
4,5,14,93,9,38,32,3,13,2,3,18,3,2,5,6,2,1,4,SHEIN Solid High Neck Form Fitted Tee,3.99,1,1,4,4,9901,1
13,2,5,93,5,40,5,3,6,1,4,18,3,0,3,6,2,1,4,Solid Button Up Drop Shoulder Blouse,11.0,1,1,4,4,5232,1
13,5,51,93,9,40,5,3,6,1,4,18,3,0,3,6,2,1,4,Solid Button-Front Drop Shoulder Shirt,11.0,1,1,4,4,5232,1
13,5,30,93,9,40,5,3,6,1,4,18,3,0,3,6,2,1,4,Solid Button Up Drop Shoulder Blouse,11.0,1,1,4,4,5232,1
